"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2018","MARKETING YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","HONEY","HONEY - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","964,000",""
"SURVEY","2018","MARKETING YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","HONEY","HONEY - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","2,572,000",""
"SURVEY","2018","MARKETING YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","HONEY","HONEY - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","2,618,000",""
"SURVEY","2018","MARKETING YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","HONEY","HONEY - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","28,294,000",""
"SURVEY","2018","MARKETING YEAR","","STATE","COLORADO","08","","","","","","","00000000","","HONEY","HONEY - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","3,006,000",""
"SURVEY","2018","MARKETING YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","HONEY","HONEY - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","25,284,000",""
"SURVEY","2018","MARKETING YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","HONEY","HONEY - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","9,296,000",""
"SURVEY","2018","MARKETING YEAR","","STATE","HAWAII","15","","","","","","","00000000","","HONEY","HONEY - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","3,204,000",""
"SURVEY","2018","MARKETING YEAR","","STATE","IDAHO","16","","","","","","","00000000","","HONEY","HONEY - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","5,833,000",""
"SURVEY","2018","MARKETING YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","HONEY","HONEY - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","2,260,000",""
"SURVEY","2018","MARKETING YEAR","","STATE","INDIANA","18","","","","","","","00000000","","HONEY","HONEY - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","1,208,000",""
"SURVEY","2018","MARKETING YEAR","","STATE","IOWA","19","","","","","","","00000000","","HONEY","HONEY - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","4,376,000",""
