Year,Commodity,Data Item,Value
2018,BLUEBERRIES,"BLUEBERRIES, TAME - ACRES HARVESTED",89200
2017,BLUEBERRIES,"BLUEBERRIES, TAME - ACRES HARVESTED",83900
2016,BLUEBERRIES,"BLUEBERRIES, TAME - ACRES HARVESTED",92800
2015,BLUEBERRIES,"BLUEBERRIES, TAME - ACRES HARVESTED",90920
2014,BLUEBERRIES,"BLUEBERRIES, TAME - ACRES HARVESTED",85150
2013,BLUEBERRIES,"BLUEBERRIES, TAME - ACRES HARVESTED",83340
2012,BLUEBERRIES,"BLUEBERRIES, TAME - ACRES HARVESTED",76400
2011,BLUEBERRIES,"BLUEBERRIES, TAME - ACRES HARVESTED",73300
2010,BLUEBERRIES,"BLUEBERRIES, TAME - ACRES HARVESTED",70510
2009,BLUEBERRIES,"BLUEBERRIES, TAME - ACRES HARVESTED",64270
2008,BLUEBERRIES,"BLUEBERRIES, TAME - ACRES HARVESTED",60480
2007,BLUEBERRIES,"BLUEBERRIES, TAME - ACRES HARVESTED",53420
