,Year,State,Population
414,2018,ALABAMA,"6,000"
415,2018,ARIZONA,"24,000"
416,2018,ARKANSAS,"28,000"
417,2018,CALIFORNIA,"335,000"
418,2018,COLORADO,"31,000"
419,2018,FLORIDA,"215,000"
420,2018,GEORGIA,"98,000"
421,2018,HAWAII,"17,000"
422,2018,IDAHO,"96,000"
423,2018,ILLINOIS,"11,000"
424,2018,INDIANA,"7,000"
425,2018,IOWA,"38,000"
426,2018,KANSAS,"5,000"
427,2018,KENTUCKY,"4,000"
428,2018,LOUISIANA,"45,000"
429,2018,MAINE,"12,000"
430,2018,MICHIGAN,"92,000"
431,2018,MINNESOTA,"119,000"
432,2018,MISSISSIPPI,"20,000"
433,2018,MISSOURI,"9,000"
434,2018,MONTANA,"160,000"
435,2018,NEBRASKA,"40,000"
436,2018,NEW JERSEY,"13,000"
437,2018,NEW YORK,"56,000"
438,2018,NORTH CAROLINA,"10,000"
439,2018,NORTH DAKOTA,"530,000"
440,2018,OHIO,"14,000"
441,2018,OREGON,"93,000"
442,2018,OTHER STATES,"36,000"
443,2018,PENNSYLVANIA,"19,000"
444,2018,SOUTH CAROLINA,"16,000"
445,2018,SOUTH DAKOTA,"255,000"
446,2018,TENNESSEE,"7,000"
447,2018,TEXAS,"132,000"
448,2018,UTAH,"26,000"
449,2018,VERMONT,"7,000"
450,2018,VIRGINIA,"4,000"
451,2018,WASHINGTON,"77,000"
452,2018,WEST VIRGINIA,"6,000"
453,2018,WISCONSIN,"51,000"
454,2018,WYOMING,"39,000"
2111,2017,ALABAMA,"7,000"
2112,2017,ARIZONA,"22,000"
2113,2017,ARKANSAS,"29,000"
2114,2017,CALIFORNIA,"335,000"
2115,2017,COLORADO,"33,000"
2116,2017,FLORIDA,"205,000"
2117,2017,GEORGIA,"99,000"
2118,2017,HAWAII,"19,000"
2119,2017,IDAHO,"95,000"
2120,2017,ILLINOIS,"11,000"
2121,2017,INDIANA,"8,000"
2122,2017,IOWA,"35,000"
2123,2017,KANSAS,"7,000"
2124,2017,KENTUCKY,"5,000"
2125,2017,LOUISIANA,"43,000"
2126,2017,MAINE,"12,000"
2127,2017,MICHIGAN,"87,000"
2128,2017,MINNESOTA,"126,000"
2129,2017,MISSISSIPPI,"18,000"
2130,2017,MISSOURI,"8,000"
2131,2017,MONTANA,"145,000"
